"autor","registros"
"Anahi Cosky Paca Condori",57
"Joshua Covill",28
"Matthew Rody",17
"Hugo Santa Cruz",16
"Todd Pepper",16
"Sebastian Herzog",14
"Gustavo Cañas Valle",13
"Kent Miller",11
"Martín Manassero",10
"Daniel Ordóñez",8
"Oliver Bracko",8
"Mark Gawn",7
"Suzanne Vargas",7
"Rich Hoyer",7
"Matt Brady",6
"Robert Tizard",6
"Sandra Retamozo",6
"Jay VanderGaast",6
"Tjalle Boorsma",5
"Tor Egil Høgsås",5
"Daniel Lane",5
"Robert Dobbs",4
"Glenn Seeholzer",4
"rudy gelis",4
"Chandler Dolan",4
"W. Sergio Pantoja",4
"Ross Gallardy",4
"Mich Coker",3
"BLANCHON Yoann",3
"Ryan Terrill",3
"Simon RB Thompson",3
"Rolf Mall",3
"Todd Fellenbaum",3
"David Mehlman",3
"Andrew Farnsworth",3
"Jenny Bowman",3
"Forrest Rowland",3
"David Blevins",2
"Claude Girard",2
"Peter Hosner",2
"J. Luis Martínez",2
"Micah Riegner",2
"Michael Harvey",2
"John ODonnell",2
"Jose V. Padilla-Lopez",2
"E. Gustavo Sánchez Avila",2
"Robert Parsons",2
"Hugo Caverzasi",2
"Tara Tuatai",2
"Tini & Jacob Wijpkema",1
"Santiago Imberti",1
"Eva Matthews Lark",1
"Miguel Angel Montenegro Avila",1
"Peter Osenton",1
"Ramiro Ramirez",1
"Darla Anderson",1
"Barbara DeWitt",1
"Benjamin Freeman",1
"Olivier Langrand",1
"John Drummond",1
"Ian Davies",1
"Benjamin Clock",1
"Diego Monteleone",1
"Lucio Luc Fazio",1
"Carlos Agulian",1
"Arturo Rubio",1
